Prey	Predator


60	12
59	12
58	12
58	12
58	12
57	12
57	12
57	12
56	12
56	12
57	12
56	12
56	12
56	12
56	12
56	12
57	12
58	12
59	12
59	12
59	12
61	12
61	12
62	12
62	12
64	12
64	12
65	12
67	12
67	12
68	12
69	12
70	12
72	12
73	12
74	12
75	12
75	12
77	12
79	12
79	12
83	12
84	12
84	12
86	12
88	12
87	12
89	12
91	12
94	12
93	12
98	12
99	12
102	12
103	12
102	12
104	12
105	12
108	12
110	12
111	12
118	12
121	12
127	12
130	12
133	12
136	12
140	12
146	12
153	12
155	12
158	12
165	12
168	12
179	12
182	12
187	12
192	12
196	12
198	12
204	12
210	12
217	12
222	12
226	12
231	12
236	12
241	12
247	12
249	12
257	12
261	12
274	12
280	12
286	12
288	12
291	12
299	12
309	12
313	12
316	12
323	12
328	12
333	12
340	12
347	12
356	12
364	12
370	12
379	12
389	12
394	12
399	12
406	12
415	12
424	12
429	12
437	12
448	12
454	12
461	12
474	12
480	12
490	12
497	12
506	12
509	12
517	12
526	12
532	12
533	13
537	13
543	13
542	13
553	13
561	13
565	13
570	13
577	13
584	13
589	13
594	13
596	13
600	13
604	13
611	13
619	12
629	12
632	12
635	12
635	12
641	12
652	12
659	12
665	12
670	12
669	12
675	12
682	12
689	12
692	12
694	12
696	13
698	13
704	13
705	15
707	15
710	15
710	15
711	16
715	16
716	16
717	16
720	16
725	16
727	16
730	16
733	16
735	16
740	16
743	16
750	16
754	16
758	16
763	16
761	17
767	17
767	17
770	17
777	17
780	17
781	17
780	17
781	18
781	18
784	18
783	18
785	18
787	18
786	18
790	18
792	18
787	18
791	18
793	18
796	18
798	19
800	19
800	19
799	19
799	19
800	19
801	19
802	20
806	20
811	22
815	22
814	22
814	22
816	23
818	23
817	23
816	23
813	23
816	23
818	23
820	23
819	23
819	23
817	24
817	24
817	24
818	24
820	24
822	24
819	24
821	24
823	24
818	25
816	25
817	25
817	25
816	26
818	26
819	26
816	28
817	28
818	28
815	29
814	30
812	30
811	30
811	30
809	31
808	31
811	31
809	31
809	32
810	33
811	33
807	34
808	34
805	34
805	34
810	34
812	34
813	34
812	34
811	34
812	34
814	35
812	35
807	35
802	35
795	37
796	37
797	37
789	38
787	38
781	39
776	39
773	40
773	40
773	40
769	40
768	40
768	40
767	40
763	40
752	40
743	41
742	41
739	43
738	43
737	44
733	44
730	44
725	44
722	44
723	44
717	44
713	45
713	45
709	45
706	45
704	46
704	47
701	47
696	46
690	46
687	48
682	49
682	49
678	49
669	49
667	49
660	50
654	50
654	50
655	51
653	51
652	51
650	51
645	51
641	51
639	51
635	51
635	51
627	52
627	53
625	54
620	54
618	55
613	55
610	55
607	55
602	56
598	56
592	56
589	57
588	57
585	57
581	57
574	57
573	57
571	58
569	58
568	59
569	59
567	59
562	60
560	61
555	61
559	61
559	61
552	62
551	62
544	62
548	62
547	62
542	62
538	62
536	62
533	62
532	62
529	62
527	62
526	62
527	62
528	62
527	62
524	63
520	63
516	63
514	63
513	63
510	64
508	64
507	64
504	64
498	65
496	66
488	67
489	68
493	69
490	69
490	70
484	70
485	70
490	70
490	70
487	71
483	71
478	72
478	72
472	73
470	74
469	74
468	74
467	74
